epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.1633,1.11597,1.03034,1.49872,0.798,0.80721,0.87547,0.61621,1.04104,0.75595,1.42801,0.00033232,0.00033232,0.00033232
2,108.779,1.14212,1.07637,1.5111,0.7856,0.7747,0.85302,0.59969,1.05153,0.82825,1.43772,0.00062172,0.00062172,0.00062172
3,159.783,1.15294,1.10401,1.51824,0.78736,0.78912,0.86396,0.60257,1.05525,0.79697,1.43053,0.000867121,0.000867121,0.000867121
4,210.638,1.16235,1.09682,1.52461,0.74832,0.79646,0.84452,0.59041,1.0419,0.85787,1.43425,0.000802,0.000802,0.000802
5,260.669,1.15679,1.09875,1.52107,0.76199,0.79904,0.84085,0.58813,1.03577,0.82948,1.41563,0.000736,0.000736,0.000736
6,327.018,1.10643,0.93515,1.51457,0.76616,0.79025,0.84917,0.59215,1.04901,0.8397,1.43357,0.00067,0.00067,0.00067
7,376.636,1.08493,0.89792,1.49091,0.79972,0.79546,0.86322,0.60945,1.03582,0.77995,1.41139,0.000604,0.000604,0.000604
8,425.99,1.05637,0.84647,1.46666,0.8047,0.79417,0.86713,0.61965,1.0092,0.7643,1.39651,0.000538,0.000538,0.000538
9,477.806,1.04316,0.83142,1.45847,0.78226,0.81319,0.8724,0.62097,1.00797,0.75346,1.38516,0.000472,0.000472,0.000472
10,528.093,1.01511,0.78917,1.43831,0.8047,0.8198,0.87855,0.6381,0.98209,0.72195,1.36066,0.000406,0.000406,0.000406
11,580.031,1.00613,0.76626,1.42605,0.81335,0.8223,0.88457,0.6466,0.97714,0.69263,1.35119,0.00034,0.00034,0.00034
12,636.674,0.98799,0.74829,1.40941,0.80893,0.84003,0.89633,0.65723,0.96688,0.68453,1.35455,0.000274,0.000274,0.000274
13,700.91,0.97261,0.72198,1.4038,0.81528,0.83661,0.89093,0.6525,0.95931,0.665,1.3411,0.000208,0.000208,0.000208
14,765.071,0.95215,0.69208,1.38803,0.83462,0.83855,0.90546,0.66635,0.95002,0.64719,1.33062,0.000142,0.000142,0.000142
15,829.45,0.93917,0.67264,1.36894,0.82978,0.84657,0.90728,0.67107,0.94053,0.63901,1.32248,7.6e-05,7.6e-05,7.6e-05
