epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,60.3016,2.84835,3.72874,3.62616,0.19062,0.26515,0.17443,0.06581,2.0501,3.07245,2.8797,0.00033232,0.00033232,0.00033232
2,115.733,1.94363,2.71412,2.49158,0.29908,0.36616,0.2797,0.1435,1.62879,2.41855,2.2754,0.000533854,0.000533854,0.000533854
3,167.947,1.68476,2.28798,2.15307,0.48954,0.49795,0.47504,0.2606,1.58534,1.8099,2.09284,0.000603388,0.000603388,0.000603388
4,217.813,1.56182,2.03627,2.00627,0.51572,0.57641,0.55165,0.33457,1.37107,1.62486,1.90634,0.000406,0.000406,0.000406
5,267.666,1.46818,1.85596,1.91634,0.61157,0.59479,0.61822,0.38613,1.333,1.43983,1.85842,0.000208,0.000208,0.000208
